region,NoSLR_form,NoSLR_b1,NoSLR_b2,NoSLR_b3,NoSLR_a (q=0.025),NoSLR_a (q=0.05),NoSLR_a (q=0.16),NoSLR_a (q=0.25),NoSLR_a (q=0.33),NoSLR_a (q=0.5),NoSLR_a (q=0.67),NoSLR_a (q=0.75),NoSLR_a (q=0.84),NoSLR_a (q=0.95),NoSLR_a (q=0.975),SLR-NoAd_form,SLR-NoAd_b1,SLR-NoAd_b2,SLR-NoAd_b3,SLR-NoAd_a (q=0.025),SLR-NoAd_a (q=0.05),SLR-NoAd_a (q=0.16),SLR-NoAd_a (q=0.25),SLR-NoAd_a (q=0.33),SLR-NoAd_a (q=0.5),SLR-NoAd_a (q=0.67),SLR-NoAd_a (q=0.75),SLR-NoAd_a (q=0.84),SLR-NoAd_a (q=0.95),SLR-NoAd_a (q=0.975),SLR-Ad_form,SLR-Ad_b1,SLR-Ad_b2,SLR-Ad_b3,SLR-Ad_a (q=0.025),SLR-Ad_a (q=0.05),SLR-Ad_a (q=0.16),SLR-Ad_a (q=0.25),SLR-Ad_a (q=0.33),SLR-Ad_a (q=0.5),SLR-Ad_a (q=0.67),SLR-Ad_a (q=0.75),SLR-Ad_a (q=0.84),SLR-Ad_a (q=0.95),SLR-Ad_a (q=0.975),combined_b1_NoAd,combined_b2_NoAd,combined_b1_NoAd-q0.025,combined_b2_NoAd-q0.025,combined_b1_NoAd-q0.05,combined_b2_NoAd-q0.05,combined_b1_NoAd-q0.16,combined_b2_NoAd-q0.16,combined_b1_NoAd-q0.25,combined_b2_NoAd-q0.25,combined_b1_NoAd-q0.33,combined_b2_NoAd-q0.33,combined_b1_NoAd-q0.5,combined_b2_NoAd-q0.5,combined_b1_NoAd-q0.67,combined_b2_NoAd-q0.67,combined_b1_NoAd-q0.75,combined_b2_NoAd-q0.75,combined_b1_NoAd-q0.84,combined_b2_NoAd-q0.84,combined_b1_NoAd-q0.95,combined_b2_NoAd-q0.95,combined_b1_NoAd-q0.975,combined_b2_NoAd-q0.975,combined_b1_Ad,combined_b2_Ad,combined_b1_Ad-q0.025,combined_b2_Ad-q0.025,combined_b1_Ad-q0.05,combined_b2_Ad-q0.05,combined_b1_Ad-q0.16,combined_b2_Ad-q0.16,combined_b1_Ad-q0.25,combined_b2_Ad-q0.25,combined_b1_Ad-q0.33,combined_b2_Ad-q0.33,combined_b1_Ad-q0.5,combined_b2_Ad-q0.5,combined_b1_Ad-q0.67,combined_b2_Ad-q0.67,combined_b1_Ad-q0.75,combined_b2_Ad-q0.75,combined_b1_Ad-q0.84,combined_b2_Ad-q0.84,combined_b1_Ad-q0.95,combined_b2_Ad-q0.95,combined_b1_Ad-q0.975,combined_b2_Ad-q0.975
R_EUR,Robust-Quadratic,0.23532,0.46741,,0.19099,0.3102,0.59641,0.73883,0.82281,1.0,1.26941,1.41232,1.59625,2.42334,2.61981,Robust-Quadratic,-0.29782,7.70396,,-0.37052,-0.3157,-0.18463,-0.05082,-0.00609,1.0,3.35597,3.76594,4.64837,6.75086,7.50595,Robust-Linear,0.14246,,,-0.72496,-0.66054,-0.57255,-0.55784,-0.50499,1.0,9.83392,10.32388,11.33033,13.48122,13.70959,0.34396,0.4805,-0.03677,0.07943,0.01119,0.13754,0.12229,0.27659,0.16653,0.34446,0.19278,0.38449,0.34396,0.4805,0.90036,0.66582,1.07901,0.75009,1.26573,0.85335,1.61681,1.25879,1.76371,1.36275,0.25279,0.46952,0.03228,0.08775,0.06146,0.1436,0.13035,0.27756,0.16412,0.34417,0.1848,0.38353,0.25279,0.46952,0.47048,0.61404,0.51267,0.68186,0.57353,0.76995,0.80573,1.16107,0.85595,1.25339
R_IND,Robust-Quadratic,2.32289,1.65998,,-0.17828,-0.09275,0.33386,0.47171,0.61587,1.0,1.17165,1.29936,1.49106,1.86079,2.00616,Robust-Quadratic,5.94412,-11.36546,,0.32567,0.37449,0.50591,0.63098,0.74462,1.0,1.16598,1.25296,1.3347,1.62497,1.78647,Robust-Linear,1.23678,,,0.64663,0.6837,0.7494,0.8083,0.86151,1.0,1.24148,1.35973,1.54232,2.09861,2.27533,2.73192,1.70926,-0.29828,-0.28199,-0.07216,-0.1367,0.95365,0.57566,1.31146,0.80902,1.69391,1.05405,2.73192,1.70926,3.27116,2.01113,3.62279,2.22975,4.11756,2.55393,5.05105,3.17667,5.45387,3.42583,2.47452,1.67825,-0.31608,-0.28413,-0.11177,-0.14147,0.88915,0.56789,1.21829,0.79779,1.56123,1.03807,2.47452,1.67825,2.90987,1.9676,3.22445,2.18176,3.69744,2.50332,4.64064,3.12723,5.00511,3.37176
R_JON,Robust-Quadratic,0.06869,0.82064,,0.25361,0.31885,0.55941,0.67463,0.78411,1.0,1.23685,1.34558,1.66646,2.21647,2.36114,Robust-Quadratic,-4.14128,167.00545,,0.41722,0.45232,0.71289,0.79053,0.84989,1.0,1.12023,1.20272,1.35191,1.68531,1.82589,Robust-Linear,3.37771,,,0.30394,0.34369,0.70253,0.86849,0.91245,1.0,1.0814,1.14325,1.20612,1.35374,1.37144,4.2831,1.32837,0.34213,0.24724,0.50364,0.3197,1.45064,0.62921,2.10866,0.80209,2.83509,0.97854,4.2831,1.32837,5.23658,1.63565,5.75797,1.78679,6.3327,2.11671,7.45183,2.69834,8.29416,2.91735,0.48281,0.87053,0.14329,0.22329,0.16423,0.27881,0.32936,0.49412,0.406,0.59696,0.43172,0.689,0.48281,0.87053,0.53279,1.06897,0.56587,1.16128,0.61394,1.42775,0.71285,1.88647,0.73012,2.00608
R_LAM,Robust-Quadratic,0.69609,0.63903,,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1.0,1.21305,1.38975,1.80677,2.15031,2.26222,Robust-Quadratic,4.0592,2.69844,,0.2824,0.49024,0.69355,0.7858,0.88545,1.0,1.12701,1.20904,1.29276,1.57301,1.77381,Robust-Linear,1.27856,,,0.50315,0.5658,0.69852,0.81367,0.83174,0.99999,1.2203,1.30665,1.4849,1.84267,1.95586,1.16099,0.77977,-1.71336,-1.6537,-1.28543,-1.3203,0.20208,-0.01288,0.51763,0.25042,0.76763,0.45142,1.16099,0.77977,1.36834,0.93379,1.52947,1.05825,1.85867,1.33652,2.2281,1.59549,2.39934,1.69526,0.85284,0.65791,-1.76577,-1.68394,-1.42465,-1.37861,-0.01086,-0.0973,0.27986,0.15519,0.48636,0.34251,0.85284,0.65791,1.03568,0.79822,1.17221,0.91277,1.49043,1.18262,1.78565,1.40891,1.88129,1.48256
R_MEA,Robust-Quadratic,0.77572,0.42708,,-0.38892,-0.17606,0.38016,0.56864,0.74378,1.0,1.38551,1.65566,2.02224,2.51091,2.65343,Robust-Quadratic,6.29383,24.23022,,0.44918,0.5416,0.7305,0.82406,0.88482,1.0,1.09732,1.15867,1.22711,1.42089,1.51959,Robust-Linear,3.86436,,,0.43546,0.51298,0.87556,0.90053,0.91469,1.0,1.0449,1.16097,1.21997,1.34891,1.45284,1.25309,1.24541,-0.08726,0.20148,0.12197,0.36802,0.64362,0.76015,0.83449,0.9172,0.99935,1.04172,1.25309,1.24541,1.5986,1.48969,1.83744,1.65527,2.15447,1.86783,2.62604,2.2351,2.78372,2.37674,1.2495,0.48415,-0.09537,-0.14124,0.10647,-0.04591,0.70973,0.21233,0.86776,0.29425,1.01033,0.36986,1.2495,0.48415,1.56982,0.65136,1.83438,0.77336,2.14669,0.93328,2.58685,1.14934,2.74664,1.21614
R_NEU,Robust-Quadratic,0.21199,0.06188,,-0.79919,-0.45028,0.08776,0.33085,0.58388,1.0,1.78687,2.80012,3.6591,5.00915,5.72355,Robust-Quadratic,2.71968,24.06318,,0.4128,0.52691,0.73562,0.81881,0.86914,1.0,1.11985,1.20006,1.31541,1.53176,1.67852,Robust-Linear,2.27258,,,0.27882,0.3875,0.71818,0.86848,0.88843,1.0,1.06359,1.15346,1.18779,1.35898,1.38622,0.25319,0.82242,-0.15242,0.2645,-0.07375,0.37287,0.04891,0.56489,0.10387,0.64321,0.15958,0.69715,0.25319,0.82242,0.42493,0.96227,0.64304,1.08597,0.82988,1.22685,1.125,1.47494,1.28249,1.63076,0.49062,0.09545,-0.09173,-0.0401,0.01251,-0.01486,0.21871,0.02954,0.31212,0.04963,0.37132,0.06595,0.49062,0.09545,0.67515,0.14628,0.91499,0.21199,1.10665,0.2663,1.44055,0.35559,1.59958,0.40072
R_OAS,Robust-Quadratic,1.39292,1.15269,,-0.23578,-0.01069,0.46779,0.59316,0.71443,1.0,1.2417,1.35441,1.60161,1.90763,2.00106,Robust-Quadratic,12.34616,8.5278,,0.42307,0.52627,0.74574,0.82819,0.88233,1.0,1.10584,1.17179,1.26092,1.49126,1.71554,Robust-Linear,6.11287,,,0.40538,0.48643,0.87242,0.89716,0.92097,1.0,1.06258,1.13975,1.19135,1.30213,1.37668,2.80305,1.59035,0.26816,-0.08663,0.72721,0.218,1.70318,0.86559,1.99409,1.0462,2.23934,1.20967,2.80305,1.59035,3.28897,1.91527,3.53897,2.07406,4.00899,2.39801,4.76005,2.85157,5.20646,3.05742,2.14239,1.24298,-0.02461,-0.23518,0.34967,0.0316,1.30545,0.61799,1.49863,0.76474,1.68538,0.90667,2.14239,1.24298,2.52596,1.52724,2.7408,1.66413,3.1238,1.95374,3.63309,2.31648,3.81911,2.43091
R_REF,Robust-Quadratic,0.79225,0.25203,,0.05221,0.1063,0.36509,0.56734,0.67856,1.0,1.31151,1.54471,1.73994,2.17436,2.2929,Robust-Quadratic,1.5443,3.26757,,0.34315,0.39143,0.56143,0.66081,0.84505,1.0,1.18513,1.27393,1.38388,1.72197,1.87313,Robust-Linear,0.71403,,,0.53768,0.72109,0.76818,0.86118,0.88268,1.0,1.04828,1.0774,1.23655,1.45917,1.56118,0.94191,0.37266,0.09271,0.05455,0.1428,0.07401,0.37327,0.15974,0.54837,0.2227,0.66405,0.27296,0.94191,0.37266,1.21641,0.4735,1.41445,0.54299,1.58557,0.60545,1.98034,0.75573,2.09688,0.80384,0.8798,0.26258,0.08843,0.01883,0.14735,0.0344,0.35649,0.10012,0.52487,0.15207,0.61486,0.18033,0.8798,0.26258,1.13082,0.3416,1.31812,0.40068,1.48672,0.45156,1.85038,0.56339,1.95323,0.59435
R_SSA,Robust-Quadratic,1.64259,1.8269,,0.47723,0.53712,0.73071,0.81194,0.88147,1.0,1.10787,1.17536,1.2765,1.42763,1.48986,Robust-Quadratic,2.69651,-12.04682,,0.84656,0.89638,0.92383,0.97144,0.97851,1.0,1.06914,1.09237,1.12452,1.19067,1.21175,Robust-Linear,-0.1639,,,5.37937,4.76784,4.05508,3.38804,2.83844,1.0,-2.33657,-3.51177,-4.83815,-7.53493,-8.31379,1.6161,1.82371,0.36961,0.82194,0.51813,0.93739,0.93965,1.30353,1.14492,1.46058,1.2951,1.59195,1.6161,1.82371,1.94625,2.0392,2.12007,2.17009,2.35069,2.36263,2.67384,2.64776,2.80955,2.76547,1.62249,1.82448,0.6758,0.85883,0.78646,0.96972,1.11877,1.32511,1.26559,1.47512,1.39086,1.60349,1.62249,1.82448,1.86672,2.02962,2.0012,2.15577,2.19398,2.34375,2.49643,2.62638,2.61429,2.74195
R_USA,Robust-Quadratic,0.47181,0.44773,,0.3694,0.46697,0.68779,0.75749,0.81587,1.0,1.18855,1.29361,1.47692,1.74343,1.82295,Robust-Quadratic,2.54249,20.88181,,0.29168,0.43404,0.70967,0.82478,0.88333,1.0,1.14185,1.21744,1.34041,1.5699,1.72987,Robust-Linear,1.39462,,,0.21264,0.34828,0.75287,0.85222,0.9037,1.00002,1.12238,1.15827,1.18119,1.39933,1.43114,0.52992,1.11041,0.19124,0.35869,0.24554,0.49671,0.36575,0.77823,0.40532,0.88571,0.43627,0.95066,0.52992,1.11041,0.62713,1.28884,0.68109,1.38596,0.77472,1.54952,0.9138,1.82093,0.96062,1.96254,0.6428,0.46833,0.21065,0.16977,0.27987,0.21625,0.45324,0.32345,0.50311,0.3567,0.53946,0.38391,0.6428,0.46833,0.75269,0.55527,0.80839,0.60305,0.8988,0.68559,1.06184,0.80941,1.1048,0.84567
W_canada,Robust-Quadratic,0.4743,0.58069,,0.29422,0.31979,0.42399,0.56472,0.64952,1.0,1.17068,1.35378,1.8597,2.11387,2.2284,Robust-Quadratic,1.84384,36.88984,,0.41923,0.55316,0.73721,0.82081,0.89769,1.0,1.14917,1.1999,1.33064,1.57666,1.68906,Robust-Linear,2.63477,,,0.28606,0.416,0.82922,0.87873,0.92632,1.0,1.1066,1.1491,1.24424,1.38318,1.484,0.25233,1.71228,0.0465,0.64525,0.02889,0.81165,0.03746,1.08042,0.08565,1.25674,0.10881,1.39298,0.25233,1.71228,0.30018,1.98018,0.37576,2.14391,0.5867,2.58565,0.65265,3.01163,0.68202,3.20533,0.79734,0.61961,0.23196,0.18199,0.28606,0.20189,0.46897,0.27848,0.55171,0.36212,0.6073,0.41322,0.79734,0.61961,0.91273,0.72286,1.0133,0.83084,1.284,1.12833,1.44943,1.28133,1.53632,1.35176
W_china,Robust-Quadratic,1.37938,-0.07077,,-0.73092,-0.41766,0.37637,0.6015,0.77381,1.0,1.28404,1.44736,1.5686,1.77462,1.8997,Robust-Quadratic,9.9751,5.0497,,0.69314,0.72075,0.75047,0.78999,0.85158,1.0,1.16177,1.22892,1.37807,1.59014,1.75897,Robust-Linear,2.50575,,,0.65086,0.66396,0.74911,0.81148,0.87724,1.0,1.22399,1.28026,1.52874,2.12924,2.36925,2.54104,0.22773,-0.20302,0.25864,0.26116,0.24471,1.39095,0.19738,1.7474,0.19325,2.05663,0.19944,2.54104,0.22773,3.12076,0.25592,3.42405,0.26441,3.76454,0.30035,4.29509,0.34907,4.66374,0.39062,1.6866,-0.03376,-0.80827,0.07582,-0.37213,0.05413,0.7493,0.00109,1.079,-0.01254,1.33689,-0.0223,1.68659,-0.03376,2.14721,-0.04558,2.38977,-0.05505,2.63334,-0.05444,3.10201,-0.04679,3.34828,-0.04676
W_europe,Robust-Quadratic,0.25251,0.43568,,0.19708,0.31319,0.591,0.73403,0.81278,1.0,1.28226,1.40598,1.59398,2.4354,2.64373,Robust-Quadratic,-0.42542,11.47262,,-0.036,-0.02633,0.09555,0.16304,0.21044,1.0,2.27771,2.55116,3.14605,4.55368,5.01629,Robust-Linear,0.16065,,,0.22986,0.2334,0.26934,0.28664,0.33331,1.0,8.98783,9.44301,10.30046,12.2423,12.42995,0.40045,0.45351,0.03996,0.08468,0.07539,0.136,0.16422,0.2593,0.22206,0.32423,0.25882,0.36057,0.40045,0.45351,0.93496,0.63229,1.11708,0.70437,1.30485,0.80318,1.68256,1.18968,1.82087,1.29077,0.27221,0.43806,0.05429,0.08641,0.08368,0.137,0.15454,0.25813,0.191,0.32049,0.2118,0.35491,0.27221,0.43806,0.50081,0.57999,0.54102,0.63497,0.60538,0.71891,0.8561,1.09011,0.9124,1.18132
W_india,Robust-Quadratic,2.32289,1.65998,,-0.17828,-0.09275,0.33386,0.47171,0.61587,1.0,1.17165,1.29936,1.49106,1.86079,2.00616,Robust-Quadratic,5.94412,-11.36546,,0.32567,0.37449,0.50591,0.63098,0.74462,1.0,1.16598,1.25296,1.3347,1.62497,1.78647,Robust-Linear,1.23678,,,0.64663,0.6837,0.7494,0.8083,0.86151,1.0,1.24148,1.35973,1.54232,2.09861,2.27533,2.73192,1.70926,-0.29828,-0.28199,-0.07216,-0.1367,0.95365,0.57566,1.31146,0.80902,1.69391,1.05405,2.73192,1.70926,3.27116,2.01113,3.62279,2.22975,4.11756,2.55393,5.05105,3.17667,5.45387,3.42583,2.47452,1.67825,-0.31608,-0.28413,-0.11177,-0.14147,0.88915,0.56789,1.21829,0.79779,1.56123,1.03807,2.47452,1.67825,2.90987,1.9676,3.22445,2.18176,3.69744,2.50332,4.64064,3.12723,5.00511,3.37176
W_jpnkor,Robust-Quadratic,0.34945,0.74343,,0.32262,0.37014,0.61034,0.76915,0.84547,1.0,1.26001,1.35322,1.65693,2.09655,2.20336,Robust-Quadratic,-2.06326,135.54608,,0.44964,0.48187,0.74918,0.82204,0.88239,1.0,1.12819,1.21727,1.35606,1.675,1.83702,Robust-Linear,3.42114,,,0.30298,0.3635,0.71362,0.85187,0.90481,1.0,1.06154,1.14225,1.19596,1.33934,1.35307,4.02539,1.18629,0.42675,0.27768,0.62605,0.33501,1.55238,0.61508,2.11793,0.79459,2.72968,0.92181,4.02539,1.18629,4.87053,1.47046,5.30095,1.58769,5.87409,1.86973,6.84434,2.29495,7.72088,2.47545,0.7689,0.79397,0.23983,0.25516,0.28182,0.29354,0.51261,0.48981,0.6261,0.61486,0.67497,0.67427,0.7689,0.79397,0.88558,0.99037,0.952,1.06375,1.08066,1.29225,1.29443,1.62633,1.33752,1.70642
W_laca,Robust-Quadratic,0.69609,0.63903,,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1.0,1.21305,1.38975,1.80677,2.15031,2.26222,Robust-Quadratic,4.0592,2.69844,,0.2824,0.49024,0.69355,0.7858,0.88545,1.0,1.12701,1.20904,1.29276,1.57301,1.77381,Robust-Linear,1.27856,,,0.50315,0.5658,0.69852,0.81367,0.83174,0.99999,1.2203,1.30665,1.4849,1.84267,1.95586,1.16099,0.77977,-1.71336,-1.6537,-1.28543,-1.3203,0.20208,-0.01288,0.51763,0.25042,0.76763,0.45142,1.16099,0.77977,1.36834,0.93379,1.52947,1.05825,1.85867,1.33652,2.2281,1.59549,2.39934,1.69526,0.85284,0.65791,-1.76577,-1.68394,-1.42465,-1.37861,-0.01086,-0.0973,0.27986,0.15519,0.48636,0.34251,0.85284,0.65791,1.03568,0.79822,1.17221,0.91277,1.49043,1.18262,1.78565,1.40891,1.88129,1.48256
W_mena,Robust-Quadratic,0.77572,0.42708,,-0.38892,-0.17606,0.38016,0.56864,0.74378,1.0,1.38551,1.65566,2.02224,2.51091,2.65343,Robust-Quadratic,6.29383,24.23022,,0.44918,0.5416,0.7305,0.82406,0.88482,1.0,1.09732,1.15867,1.22711,1.42089,1.51959,Robust-Linear,3.86436,,,0.43546,0.51298,0.87556,0.90053,0.91469,1.0,1.0449,1.16097,1.21997,1.34891,1.45284,1.25309,1.24541,-0.08726,0.20148,0.12197,0.36802,0.64362,0.76015,0.83449,0.9172,0.99935,1.04172,1.25309,1.24541,1.5986,1.48969,1.83744,1.65527,2.15447,1.86783,2.62604,2.2351,2.78372,2.37674,1.2495,0.48415,-0.09537,-0.14124,0.10647,-0.04591,0.70973,0.21233,0.86776,0.29425,1.01033,0.36986,1.2495,0.48415,1.56982,0.65136,1.83438,0.77336,2.14669,0.93328,2.58685,1.14934,2.74664,1.21614
W_oceania,Robust-Quadratic,0.35125,0.91624,,-0.42937,-0.28776,0.25793,0.56674,0.70762,1.0,1.22644,1.33297,1.62573,1.97288,2.06954,Robust-Quadratic,3.60863,19.50245,,0.45551,0.54965,0.76789,0.84196,0.89174,1.0,1.13303,1.20857,1.33269,1.69669,1.96642,Robust-Linear,2.17176,,,0.43204,0.59572,0.82676,0.87815,0.93798,1.0,1.13982,1.16626,1.27385,1.48076,1.56499,0.55682,1.55338,-0.05717,-0.10318,0.01192,0.08655,0.24845,0.72557,0.37215,1.05571,0.43187,1.21651,0.55682,1.55338,0.6637,1.84561,0.71665,1.99135,0.845,2.33867,1.04176,2.88866,1.13116,3.14908,0.61751,0.94832,-0.03577,-0.37955,0.05755,-0.24454,0.31074,0.26284,0.43289,0.54744,0.4983,0.67844,0.61751,0.94832,0.73428,1.16028,0.77874,1.25874,0.91022,1.53043,1.08724,1.85513,1.14362,1.9464
W_sasia,Robust-Quadratic,2.78145,0.89046,,0.04302,0.12536,0.48619,0.61329,0.74356,1.0,1.18843,1.2631,1.38906,1.68602,1.78961,Robust-Quadratic,5.47499,-14.33268,,-0.23666,-0.11766,0.26451,0.51949,0.68605,1.0,1.23716,1.35701,1.4601,1.71319,1.82747,Robust-Linear,0.50767,,,0.40218,0.44996,0.54101,0.61516,0.70322,1.00003,1.73944,2.12315,2.54224,3.4871,4.47088,3.05403,0.9233,-0.02587,0.02077,0.23887,0.0984,1.3637,0.4343,1.75926,0.55254,2.17981,0.67556,3.05403,0.9233,3.71205,1.10722,3.99928,1.18329,4.44005,1.30635,5.37652,1.58409,5.71474,1.68237,2.84369,0.89796,0.14468,0.04132,0.37669,0.115,1.38599,0.43699,1.74412,0.55072,2.11196,0.66739,2.84369,0.89796,3.41383,1.07129,3.6454,1.14066,4.02184,1.25596,4.90661,1.52748,5.25599,1.6271
W_seasia,Robust-Quadratic,2.17792,0.92635,,-0.53761,-0.25306,0.39027,0.50011,0.65053,1.0,1.249,1.38746,1.69613,1.96406,2.09689,Robust-Quadratic,18.90968,-15.96062,,0.4564,0.56833,0.76565,0.83553,0.88944,1.0,1.09798,1.14269,1.22396,1.46461,1.58262,Robust-Linear,9.29209,,,0.47516,0.52395,0.88124,0.90734,0.92573,1.0,1.05881,1.11913,1.19921,1.32282,1.41681,4.11009,1.15912,-0.21889,-0.38332,0.54037,-0.10292,2.22746,0.52748,2.65501,0.65192,3.12727,0.80869,4.11009,1.15912,4.84137,1.41255,5.21541,1.54955,6.00482,1.84959,7.00479,2.14796,7.62998,2.31148,3.31717,1.0636,-0.62954,-0.4328,0.04576,-0.16251,1.85394,0.48248,2.1229,0.58781,2.47145,0.72968,3.31717,1.0636,3.92647,1.30233,4.29676,1.43887,5.06023,1.73579,5.78459,2.00095,6.18098,2.13691
W_southafrica,Robust-Quadratic,0.35895,1.4799,,0.4965,0.54653,0.68379,0.78774,0.85564,1.0,1.14013,1.19986,1.30364,1.66915,1.83007,Robust-Quadratic,3.6636,9.77887,,0.27262,0.41727,0.65563,0.79957,0.88045,1.0,1.16149,1.24115,1.32694,1.60507,1.78613,Robust-Linear,1.72333,,,0.2466,0.5454,0.71115,0.79885,0.89841,1.0,1.14764,1.19513,1.35414,1.54234,1.75235,0.68936,1.82676,0.2683,0.82934,0.33405,0.95354,0.46208,1.23935,0.54695,1.44312,0.59805,1.57166,0.68936,1.82676,0.79302,2.09015,0.84078,2.20618,0.90638,2.38953,1.12948,3.02691,1.24706,3.32786,0.57024,1.50536,0.23033,0.74105,0.31141,0.82269,0.39571,1.03004,0.45155,1.18612,0.49696,1.28914,0.57024,1.50536,0.65174,1.71649,0.68321,1.8061,0.75406,1.96374,0.92502,2.50943,1.02716,2.75293
W_ssa,Robust-Quadratic,2.30932,1.61944,,0.46934,0.53237,0.72094,0.80863,0.87591,1.0,1.10226,1.17251,1.26236,1.39739,1.45479,Robust-Quadratic,2.07698,-14.2174,,2.3146,2.13862,1.68235,1.50877,1.30989,1.0,0.81606,0.70975,0.61507,0.49557,0.46272,Robust-Linear,-0.6333,,,1.80862,1.68653,1.43111,1.35771,1.23868,1.0,0.03689,-0.50544,-0.92052,-1.48909,-1.74829,2.1177,1.59635,0.56438,0.69749,0.74356,0.80361,1.29117,1.1225,1.55006,1.2713,1.7448,1.38499,2.1177,1.59635,2.52309,1.78235,2.81122,1.91128,3.10565,2.06726,3.49892,2.29575,3.65786,2.39188,2.23167,1.61008,0.94343,0.74316,1.09847,0.84637,1.55377,1.15414,1.76197,1.29683,1.92657,1.40689,2.23167,1.61008,2.5426,1.7847,2.74695,1.90354,2.98667,2.05293,3.34265,2.27692,3.49533,2.3723
W_te,Robust-Quadratic,0.79225,0.25203,,0.05221,0.1063,0.36509,0.56734,0.67856,1.0,1.31151,1.54471,1.73994,2.17436,2.2929,Robust-Quadratic,1.5443,3.26757,,0.34315,0.39143,0.56143,0.66081,0.84505,1.0,1.18513,1.27393,1.38388,1.72197,1.87313,Robust-Linear,0.71403,,,0.53768,0.72109,0.76818,0.86118,0.88268,1.0,1.04828,1.0774,1.23655,1.45917,1.56118,0.94191,0.37266,0.09271,0.05455,0.1428,0.07401,0.37327,0.15974,0.54837,0.2227,0.66405,0.27296,0.94191,0.37266,1.21641,0.4735,1.41445,0.54299,1.58557,0.60545,1.98034,0.75573,2.09688,0.80384,0.8798,0.26258,0.08843,0.01883,0.14735,0.0344,0.35649,0.10012,0.52487,0.15207,0.61486,0.18033,0.8798,0.26258,1.13082,0.3416,1.31812,0.40068,1.48672,0.45156,1.85038,0.56339,1.95323,0.59435
W_usa,Robust-Quadratic,0.47181,0.44773,,0.3694,0.46697,0.68779,0.75749,0.81587,1.0,1.18855,1.29361,1.47692,1.74343,1.82295,Robust-Quadratic,2.54249,20.88181,,0.29168,0.43404,0.70967,0.82478,0.88333,1.0,1.14185,1.21744,1.34041,1.5699,1.72987,Robust-Linear,1.39462,,,0.21264,0.34828,0.75287,0.85222,0.9037,1.00002,1.12238,1.15827,1.18119,1.39933,1.43114,0.52992,1.11041,0.19124,0.35869,0.24554,0.49671,0.36575,0.77823,0.40532,0.88571,0.43627,0.95066,0.52992,1.11041,0.62713,1.28884,0.68109,1.38596,0.77472,1.54952,0.9138,1.82093,0.96062,1.96254,0.6428,0.46833,0.21065,0.16977,0.27987,0.21625,0.45324,0.32345,0.50311,0.3567,0.53946,0.38391,0.6428,0.46833,0.75269,0.55527,0.80839,0.60305,0.8988,0.68559,1.06184,0.80941,1.1048,0.84567
